"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell2008",9962,14484,15187,1318,9481,1663,"Batch3"
"Cell2009",10622,15901,21631,1444,11117,1801,"Batch3"
"Cell2010",6870,10777,14490,1202,9253,1321,"Batch3"
"Cell2011",11728,23334,21210,939,11193,1400,"Batch3"
"Cell2012",10979,18628,22172,1548,18997,2573,"Batch3"
"Cell2013",10116,20605,22651,1503,11062,2036,"Batch3"
"Cell2014",16466,26495,29576,1710,17416,2546,"Batch3"
"Cell2015",12997,16834,18230,1355,14888,2260,"Batch3"
"Cell2016",9460,13898,13584,1180,7387,1606,"Batch3"
"Cell2017",10783,14359,14772,1041,11454,1924,"Batch3"
"Cell2018",12030,22145,17698,1674,17587,2046,"Batch3"
"Cell2019",10205,17115,16961,1310,14340,1880,"Batch3"
"Cell2020",17022,29543,29269,1863,18989,3093,"Batch3"
"Cell2021",16117,25258,22658,1578,17941,3026,"Batch3"
"Cell2022",9928,10685,15694,1200,8860,1309,"Batch3"
"Cell2023",9640,14632,15359,877,9355,1431,"Batch3"
"Cell2024",13289,17981,23480,1332,13166,1534,"Batch3"
"Cell2025",8306,13440,11485,807,8548,1194,"Batch3"
"Cell2026",10647,11835,18296,1191,11116,1667,"Batch3"
"Cell2027",10170,16444,16121,949,9512,1649,"Batch3"
"Cell2028",13236,18927,20759,1122,12783,1551,"Batch3"
"Cell2029",13477,20966,21017,1186,12275,2011,"Batch3"
"Cell2030",13301,17970,20061,1324,12391,1945,"Batch3"
"Cell2031",14651,27710,23041,1730,17717,2777,"Batch3"
"Cell2032",15066,18497,18961,1982,14916,1873,"Batch3"
"Cell2033",16140,19136,19739,1331,13747,2811,"Batch3"
"Cell2034",8912,14471,14993,1514,8838,1349,"Batch3"
"Cell2035",11664,16692,22547,1166,11595,1865,"Batch3"
"Cell2036",14626,19119,21519,1462,12267,2735,"Batch3"
"Cell2037",14032,17588,19067,1380,13135,2264,"Batch3"
"Cell2038",12419,17685,19207,1355,13128,1658,"Batch3"
"Cell2039",8076,11688,11636,908,6538,1232,"Batch3"
"Cell2040",9640,14616,13709,1059,10804,1561,"Batch3"
"Cell2041",17246,24839,28674,1772,18518,2632,"Batch3"
"Cell2042",14296,25976,20337,1636,16103,1974,"Batch3"
"Cell2043",7621,11576,16751,981,9501,1502,"Batch3"
"Cell2044",12805,18597,18843,1194,14927,1529,"Batch3"
"Cell2045",12449,22516,19905,1738,9586,2399,"Batch3"
"Cell2046",11197,20888,15700,1192,11415,1565,"Batch3"
"Cell2047",15750,16888,20664,1447,15225,2092,"Batch3"
"Cell2048",10917,18254,20285,1234,15616,2275,"Batch3"
"Cell2049",9166,12963,14008,1280,12286,1892,"Batch3"
"Cell2050",11796,17800,16204,1074,12965,1653,"Batch3"
"Cell2051",10788,13060,15153,993,7781,1757,"Batch3"
"Cell2052",11151,19582,13072,1217,12245,1601,"Batch3"
"Cell2053",10388,16516,12817,1265,8770,1836,"Batch3"
"Cell2054",13771,23144,16835,1588,15116,1954,"Batch3"
"Cell2055",10103,12170,13084,1198,10169,1197,"Batch3"
"Cell2056",11784,19451,22984,1590,15371,1691,"Batch3"
"Cell2057",8352,11493,11630,917,8338,1436,"Batch3"
"Cell2058",12537,20176,21576,1429,12247,1789,"Batch3"
"Cell2059",8392,14442,12127,827,10088,864,"Batch3"
"Cell2060",8100,11933,10809,1254,9807,1367,"Batch3"
"Cell2061",9495,19871,20874,1344,13187,1457,"Batch3"
"Cell2062",13084,20862,21349,1230,10820,1852,"Batch3"
"Cell2063",13562,17017,20352,1675,15557,2299,"Batch3"
"Cell2064",9510,16315,14567,1480,13766,2388,"Batch3"
"Cell2065",11036,18875,16876,1184,12827,1678,"Batch3"
"Cell2066",9075,14368,16295,1239,12187,1671,"Batch3"
"Cell2067",7924,18332,12121,842,10663,1302,"Batch3"
"Cell2068",14673,19712,20330,1496,12460,2026,"Batch3"
"Cell2069",7894,13415,13347,764,9162,1091,"Batch3"
"Cell2070",14692,21135,24957,1597,15422,1905,"Batch3"
"Cell2071",8727,13064,15800,1253,10612,1417,"Batch3"
"Cell2072",6507,10273,13646,987,7870,1349,"Batch3"
"Cell2073",13126,21016,17203,1033,12125,1779,"Batch3"
"Cell2074",10622,15806,10706,1424,11456,1682,"Batch3"
"Cell2075",9156,9846,12074,982,9035,1456,"Batch3"
"Cell2076",9437,15433,17233,1150,9168,1408,"Batch3"
"Cell2077",10207,19781,14773,1340,17863,1873,"Batch3"
"Cell2078",10005,12735,15079,1104,8705,1575,"Batch3"
"Cell2079",13318,18270,16482,1359,13035,1709,"Batch3"
"Cell2080",15399,23222,23459,1768,14086,1852,"Batch3"
"Cell2081",6951,10049,12693,1166,10727,1737,"Batch3"
"Cell2082",8062,11827,10497,1002,10202,1253,"Batch3"
"Cell2083",9871,13978,16343,1008,10780,1354,"Batch3"
"Cell2084",13620,15838,14961,1490,15676,2210,"Batch3"
"Cell2085",10485,14841,14050,1010,11716,1849,"Batch3"
"Cell2086",14919,19465,16755,1326,14651,2183,"Batch3"
"Cell2087",11226,18159,16882,1246,10961,1826,"Batch3"
"Cell2088",12741,23216,20550,1303,12167,1791,"Batch3"
"Cell2089",13302,19231,22540,1590,16120,2860,"Batch3"
"Cell2090",15734,26049,28775,1996,14825,2478,"Batch3"
"Cell2091",11136,13956,17767,879,9153,1235,"Batch3"
"Cell2092",10927,12663,13859,1105,11193,1811,"Batch3"
"Cell2093",7244,13291,16175,794,6566,986,"Batch3"
"Cell2094",10174,20260,22958,1713,10467,2196,"Batch3"
"Cell2095",13631,24099,23105,1407,15302,2938,"Batch3"
"Cell2096",10027,17201,15203,1121,14013,1613,"Batch3"
"Cell2097",12702,17352,14728,1190,13147,1411,"Batch3"
"Cell2098",14549,20958,20350,1373,13636,1429,"Batch3"
"Cell2099",8389,8841,11075,836,5725,1273,"Batch3"
"Cell2100",13758,23804,24227,1818,14587,3143,"Batch3"
"Cell2101",9947,9947,12008,1016,9497,1631,"Batch3"
"Cell2102",8648,15676,19587,987,9124,1901,"Batch3"
"Cell2103",7733,15305,10952,1041,7346,1273,"Batch3"
"Cell2104",8111,13120,8972,1080,9631,1167,"Batch3"
"Cell2105",10911,17827,17722,1156,10401,1405,"Batch3"
"Cell2106",9825,16718,17279,1082,11499,1423,"Batch3"
"Cell2107",7742,13422,12071,744,7624,1241,"Batch3"
"Cell2108",14400,18715,15829,1335,13246,1826,"Batch3"
"Cell2109",12090,15081,17035,957,11264,1690,"Batch3"
"Cell2110",11755,19925,15822,1396,12711,1552,"Batch3"
"Cell2111",10927,18312,21633,1163,15649,1650,"Batch3"
"Cell2112",9352,13626,12341,896,9085,1398,"Batch3"
"Cell2113",7591,12928,13981,930,9468,1263,"Batch3"
"Cell2114",10040,15104,14011,959,10798,1687,"Batch3"
"Cell2115",10439,11514,13133,808,9783,1306,"Batch3"
"Cell2116",11516,13693,17129,927,10111,1533,"Batch3"
"Cell2117",9792,15642,14041,1242,9708,1490,"Batch3"
"Cell2118",9386,11497,15488,1179,8522,1830,"Batch3"
"Cell2119",10497,15520,16745,690,10629,1185,"Batch3"
"Cell2120",9855,17110,17030,1105,11752,1842,"Batch3"
"Cell2121",8583,16439,18882,986,10823,1307,"Batch3"
"Cell2122",11940,16229,16492,1559,12999,2050,"Batch3"
"Cell2123",8602,19483,14201,1158,9097,2079,"Batch3"
"Cell2124",8771,13275,13169,759,7278,1322,"Batch3"
"Cell2125",9048,13755,17749,1289,12051,1883,"Batch3"
"Cell2126",8978,17855,17211,1243,10113,1443,"Batch3"
"Cell2127",11984,18100,20866,897,9834,1756,"Batch3"
"Cell2128",7195,13711,13091,930,8070,1281,"Batch3"
"Cell2129",11376,21325,18812,1214,13534,2220,"Batch3"
"Cell2130",14568,20955,15721,1618,11931,1679,"Batch3"
"Cell2131",12674,18473,17076,1187,10829,2322,"Batch3"
"Cell2132",8169,18606,21209,1468,10883,1276,"Batch3"
"Cell2133",11691,15804,14784,1114,12847,1989,"Batch3"
"Cell2134",12216,19556,19303,1489,13985,2257,"Batch3"
"Cell2135",8885,14844,12875,1155,9998,1524,"Batch3"
"Cell2136",14480,22638,23194,1753,15232,2473,"Batch3"
"Cell2137",9269,15718,11691,982,9769,1448,"Batch3"
"Cell2138",9768,11300,14342,1016,7720,1402,"Batch3"
"Cell2139",13199,22338,23637,1004,14083,2090,"Batch3"
"Cell2140",10047,17359,18939,1512,12089,1352,"Batch3"
"Cell2141",9751,18123,16682,1118,11538,1660,"Batch3"
"Cell2142",13402,21869,17018,1817,14877,2362,"Batch3"
"Cell2143",9862,15508,15343,957,10228,1283,"Batch3"
"Cell2144",11771,15603,14738,1461,12067,2096,"Batch3"
"Cell2145",10755,17525,24921,1255,13623,1780,"Batch3"
"Cell2146",8170,9746,13376,991,9467,1326,"Batch3"
"Cell2147",8505,14896,13873,1157,11166,1456,"Batch3"
"Cell2148",8427,16950,13265,1117,9144,1614,"Batch3"
"Cell2149",10934,13891,14460,1232,9990,1328,"Batch3"
"Cell2150",9843,16595,12195,1081,10708,1620,"Batch3"
"Cell2151",6192,13322,14550,1075,7689,1393,"Batch3"
"Cell2152",20630,20570,24192,1379,14676,2490,"Batch3"
"Cell2153",11231,15161,21100,1157,11408,1375,"Batch3"
"Cell2154",9072,14543,11802,1249,10270,1438,"Batch3"
"Cell2155",10335,17289,13405,1497,11745,1547,"Batch3"
"Cell2156",10782,17201,17898,1187,10677,1615,"Batch3"
"Cell2157",9961,15745,20640,1212,10148,1561,"Batch3"
"Cell2158",8159,14571,11645,1150,7937,1227,"Batch3"
"Cell2159",10084,17771,15864,967,9753,1066,"Batch3"
"Cell2160",9536,16110,13412,1300,9914,1858,"Batch3"
"Cell2161",10965,15863,17410,1055,11211,1505,"Batch3"
"Cell2162",9343,14765,13486,1175,9557,1326,"Batch3"
"Cell2163",14266,16735,20667,1264,11585,2636,"Batch3"
"Cell2164",8898,17291,18624,1295,9881,1631,"Batch3"
"Cell2165",13235,17657,13529,1631,10662,1444,"Batch3"
"Cell2166",11649,18480,17839,1412,14129,1822,"Batch3"
"Cell2167",11143,17197,19078,1366,11846,1758,"Batch3"
"Cell2168",8970,13587,12502,1051,9845,1561,"Batch3"
"Cell2169",11739,18295,13857,1386,11141,1672,"Batch3"
"Cell2170",9002,17066,14678,1171,10039,1646,"Batch3"
"Cell2171",15030,19377,28709,1992,16536,2520,"Batch3"
"Cell2172",8180,15207,13870,932,10552,1570,"Batch3"
"Cell2173",11299,15399,20449,1361,13154,1591,"Batch3"
"Cell2174",6814,12766,13379,897,8230,1192,"Batch3"
"Cell2175",9862,14847,19335,1082,8715,1680,"Batch3"
"Cell2176",15353,26397,20937,1772,14188,1928,"Batch3"
"Cell2177",10052,14612,15657,1183,12091,1975,"Batch3"
"Cell2178",9809,13164,14963,1228,10826,1475,"Batch3"
"Cell2179",11096,14235,15240,1149,11234,2256,"Batch3"
"Cell2180",12533,20369,19588,1521,15500,2084,"Batch3"
"Cell2181",18598,21736,25032,2032,13894,2356,"Batch3"
"Cell2182",12226,15053,16060,1170,9002,1993,"Batch3"
"Cell2183",12019,14396,16802,1392,10647,1999,"Batch3"
"Cell2184",17271,17152,23921,1662,13501,1916,"Batch3"
"Cell2185",12402,18579,19965,1470,17086,1381,"Batch3"
"Cell2186",9295,17035,15892,779,9252,1844,"Batch3"
"Cell2187",8837,13971,18635,1157,12036,1736,"Batch3"
"Cell2188",13747,19858,24705,1266,13686,1924,"Batch3"
"Cell2189",9645,16233,17712,1172,10973,1888,"Batch3"
"Cell2190",9525,13802,17681,1029,10802,1483,"Batch3"
"Cell2191",11109,14431,20021,1269,11051,1570,"Batch3"
"Cell2192",11374,18022,15926,1414,11491,1627,"Batch3"
"Cell2193",8483,13353,14832,926,8862,1519,"Batch3"
"Cell2194",9313,19679,15818,1284,10636,1839,"Batch3"
"Cell2195",9061,15325,12879,1292,13306,1675,"Batch3"
"Cell2196",14568,20190,19802,1488,13378,2285,"Batch3"
"Cell2197",12941,18294,23410,1760,14051,2344,"Batch3"
"Cell2198",13083,20148,16350,1267,12893,1886,"Batch3"
"Cell2199",13580,18580,18390,1137,10436,1821,"Batch3"
"Cell2200",13925,18215,20252,1673,19009,2459,"Batch3"
"Cell2201",9379,14736,18451,1287,9282,1055,"Batch3"
"Cell2202",10542,17179,19528,1662,12415,2255,"Batch3"
"Cell2203",9087,16315,17336,971,11178,1989,"Batch3"
"Cell2204",12547,18606,20414,1079,10136,1754,"Batch3"
"Cell2205",9601,13524,17432,1461,12689,1869,"Batch3"
"Cell2206",12578,18333,22335,1416,12661,1832,"Batch3"
"Cell2207",14820,19260,20917,1484,14992,1856,"Batch3"
"Cell2208",10898,11504,12071,877,11027,1516,"Batch3"
"Cell2209",10903,19036,18578,1112,11057,1486,"Batch3"
"Cell2210",11418,15006,15290,1189,9861,1937,"Batch3"
"Cell2211",10275,12955,14016,828,10024,1265,"Batch3"
"Cell2212",10419,15634,20395,1253,8195,1835,"Batch3"
"Cell2213",11378,16890,18316,1343,14753,2335,"Batch3"
"Cell2214",9745,17955,17943,1282,10713,1578,"Batch3"
"Cell2215",11138,19277,19227,1067,11135,2178,"Batch3"
"Cell2216",13688,15499,23831,1716,13467,2608,"Batch3"
"Cell2217",9026,13520,15165,871,8187,1478,"Batch3"
"Cell2218",9912,16454,20291,1439,12658,1659,"Batch3"
"Cell2219",9494,13433,17225,1309,11605,1991,"Batch3"
"Cell2220",12996,20729,18248,1615,15247,2361,"Batch3"
"Cell2221",9950,19102,20815,1326,10557,1873,"Batch3"
"Cell2222",13841,19157,21524,1362,14947,3106,"Batch3"
"Cell2223",11442,15086,16571,1157,11498,1518,"Batch3"
"Cell2224",9759,18065,13776,1019,11356,1519,"Batch3"
"Cell2225",7000,11251,10783,726,5905,938,"Batch3"
"Cell2226",11809,19902,19739,1408,13643,2021,"Batch3"
"Cell2227",12354,19678,17666,1936,14382,2232,"Batch3"
"Cell2228",16875,22971,22308,1885,20347,2295,"Batch3"
"Cell2229",15821,20815,26697,1443,16697,2395,"Batch3"
"Cell2230",9467,13853,15364,1395,9508,1446,"Batch3"
"Cell2231",11250,14475,14761,1105,12074,1793,"Batch3"
"Cell2232",11644,15961,18319,1422,10616,1966,"Batch3"
"Cell2233",8392,13131,13413,1044,10508,1216,"Batch3"
"Cell2234",9763,13601,17052,1395,10374,2188,"Batch3"
"Cell2235",9067,13881,9837,964,6960,1328,"Batch3"
"Cell2236",8043,14424,12051,960,7817,1175,"Batch3"
"Cell2237",7171,14887,11523,994,10440,1332,"Batch3"
"Cell2238",11414,13606,23150,1269,10880,1754,"Batch3"
"Cell2239",15446,23592,21033,1626,14953,1922,"Batch3"
"Cell2240",20266,23002,19966,1771,15164,2979,"Batch3"
"Cell2241",12129,26346,24005,1305,15575,2239,"Batch3"
"Cell2242",12553,16226,20254,1240,11914,1977,"Batch3"
"Cell2243",9913,13826,16559,1094,10144,1816,"Batch3"
"Cell2244",17040,23087,22686,1606,16249,2247,"Batch3"
"Cell2245",14195,21543,23039,1642,15330,2360,"Batch3"
"Cell2246",10975,17210,15094,1204,12733,1605,"Batch3"
"Cell2247",8550,11618,15556,1038,7917,1352,"Batch3"
"Cell2248",12617,19562,19488,1096,10588,1872,"Batch3"
"Cell2249",7760,11484,13240,905,7610,1282,"Batch3"
"Cell2250",13756,22988,28634,1866,14168,2714,"Batch3"
"Cell2251",11879,18751,16241,846,8985,1692,"Batch3"
"Cell2252",10052,15718,14424,1174,9150,1428,"Batch3"
"Cell2253",8214,11634,14113,1138,9788,1330,"Batch3"
"Cell2254",11051,21692,20980,1355,16315,2146,"Batch3"
"Cell2255",16172,27225,19000,1805,21122,2383,"Batch3"
"Cell2256",8229,12337,12003,901,8500,1229,"Batch3"
"Cell2257",11846,20624,18842,1421,11093,1485,"Batch3"
"Cell2258",11575,17557,16259,1044,10680,1566,"Batch3"
"Cell2259",14502,18480,15745,1341,9129,1512,"Batch3"
"Cell2260",10218,11825,10601,861,7308,1299,"Batch3"
"Cell2261",15688,24840,24258,2136,19599,2407,"Batch3"
"Cell2262",9986,17381,18297,1184,13641,1850,"Batch3"
"Cell2263",15936,30636,31732,1670,16904,2043,"Batch3"
"Cell2264",11491,17605,18916,1207,9581,1768,"Batch3"
"Cell2265",9566,10835,13982,1091,8637,1070,"Batch3"
"Cell2266",10455,20056,17961,1321,11901,1706,"Batch3"
"Cell2267",11772,16332,17421,1151,10174,1307,"Batch3"
"Cell2268",9202,13963,13734,1057,11181,1575,"Batch3"
"Cell2269",10613,21204,17280,1225,10538,1824,"Batch3"
"Cell2270",15395,20483,21027,1302,20434,2732,"Batch3"
"Cell2271",9168,12285,16069,1140,10289,1141,"Batch3"
"Cell2272",14208,18508,16799,1313,9758,1833,"Batch3"
"Cell2273",12906,18318,20609,1213,12260,1856,"Batch3"
"Cell2274",12748,16348,16670,1408,12190,1793,"Batch3"
"Cell2275",10095,17552,13309,883,7484,957,"Batch3"
"Cell2276",12842,19335,18229,1552,10315,2422,"Batch3"
"Cell2277",8822,13351,9004,926,8466,1072,"Batch3"
"Cell2278",11356,16129,12378,713,8772,1289,"Batch3"
"Cell2279",6221,11145,13170,804,5800,1068,"Batch3"
"Cell2280",14667,17626,22516,1433,12835,2046,"Batch3"
"Cell2281",10077,18813,14026,886,9346,1797,"Batch3"
"Cell2282",8139,17245,10789,1091,9171,1185,"Batch3"
"Cell2283",8538,16994,16657,1268,11765,1614,"Batch3"
"Cell2284",16598,20267,23476,2076,19594,2460,"Batch3"
"Cell2285",12600,19672,21586,1026,11709,1646,"Batch3"
"Cell2286",9109,13750,17022,1097,10434,1713,"Batch3"
"Cell2287",11204,17179,14114,1242,11335,1563,"Batch3"
"Cell2288",7203,14192,12788,1014,8862,1707,"Batch3"
"Cell2289",12621,16246,14970,1136,11430,1755,"Batch3"
"Cell2290",9875,12767,17445,1051,8120,1803,"Batch3"
"Cell2291",11788,16422,17788,1455,12147,2167,"Batch3"
"Cell2292",10844,14751,17133,1176,11387,1724,"Batch3"
"Cell2293",12456,16522,18218,1318,9708,2233,"Batch3"
"Cell2294",11344,18016,17539,942,11261,2198,"Batch3"
"Cell2295",9762,12470,13900,789,10393,1273,"Batch3"
"Cell2296",14705,19186,19201,1387,12198,2124,"Batch3"
"Cell2297",8252,11384,10248,941,9051,1374,"Batch3"
"Cell2298",8617,11202,13199,969,9744,1759,"Batch3"
"Cell2299",17151,26332,26109,1463,19057,1940,"Batch3"
"Cell2300",10917,17655,15898,1138,14536,1954,"Batch3"
"Cell2301",13683,21152,21813,1119,14698,2027,"Batch3"
"Cell2302",8961,13329,12543,683,9172,1521,"Batch3"
"Cell2303",11210,17328,14017,1084,11716,1634,"Batch3"
"Cell2304",12466,18141,14744,1359,14604,1965,"Batch3"
"Cell2305",10662,16979,19576,1455,12348,2110,"Batch3"
"Cell2306",8748,10230,16946,717,8752,1171,"Batch3"
"Cell2307",10182,12470,15821,1258,10804,1633,"Batch3"
"Cell2308",12671,16546,18730,1750,13354,1859,"Batch3"
"Cell2309",13923,22235,21889,1291,14898,2243,"Batch3"
"Cell2310",13212,21346,18870,1233,11400,1463,"Batch3"
"Cell2311",8314,14742,15206,1540,11233,2007,"Batch3"
"Cell2312",10920,16446,19349,1100,12361,1754,"Batch3"
"Cell2313",9373,12741,15069,1146,11123,1247,"Batch3"
"Cell2314",20742,28242,23739,1759,20258,3132,"Batch3"
"Cell2315",12637,14832,17971,1491,9264,1967,"Batch3"
"Cell2316",10215,13500,15120,1028,9433,1211,"Batch3"
"Cell2317",14829,22981,27218,1606,16627,2822,"Batch3"
"Cell2318",7719,13667,12144,699,9591,1442,"Batch3"
"Cell2319",7927,11814,13161,853,9121,1446,"Batch3"
"Cell2320",8525,13905,12889,838,10763,1257,"Batch3"
"Cell2321",10445,13769,14642,919,8188,1473,"Batch3"
"Cell2322",10440,14398,14306,1321,11597,1822,"Batch3"
"Cell2323",14007,13627,18796,1185,13184,2145,"Batch3"
"Cell2324",16148,24761,18374,1362,12145,2485,"Batch3"
"Cell2325",8506,14338,15846,931,8452,1097,"Batch3"
"Cell2326",13210,21108,26200,1982,15818,2665,"Batch3"
"Cell2327",10780,13246,15513,1148,10394,1516,"Batch3"
"Cell2328",12228,17359,14616,1378,13000,2132,"Batch3"
"Cell2329",8019,12280,10199,998,8704,1131,"Batch3"
"Cell2330",14490,24048,22691,2016,15561,2065,"Batch3"
"Cell2331",12031,21341,20138,1198,15090,2122,"Batch3"
"Cell2332",14019,17229,17784,1580,12043,1970,"Batch3"
"Cell2333",17406,22357,24472,1828,17856,2729,"Batch3"
"Cell2334",12059,18330,18701,1229,11606,1730,"Batch3"
"Cell2335",16004,30908,27535,1555,15922,2388,"Batch3"
"Cell2336",8720,12428,10780,783,7011,1209,"Batch3"
"Cell2337",11604,19041,15892,1211,13719,1760,"Batch3"
"Cell2338",10463,19537,14797,1126,9994,1204,"Batch3"
"Cell2339",12822,17880,18428,1279,14001,1921,"Batch3"
"Cell2340",12798,28468,23823,1384,17816,2314,"Batch3"
"Cell2341",14157,20312,19308,1632,12216,2381,"Batch3"
"Cell2342",13050,20397,16878,1246,13558,2119,"Batch3"
"Cell2343",13474,19696,21582,1523,14982,1960,"Batch3"
"Cell2344",8980,13959,14942,1122,8530,1398,"Batch3"
"Cell2345",9763,20595,16245,1175,12010,1327,"Batch3"
"Cell2346",10817,19935,21601,1261,14336,2164,"Batch3"
"Cell2347",6874,8206,10421,686,8661,979,"Batch3"
"Cell2348",13028,20310,21021,1710,12985,2059,"Batch3"
"Cell2349",12534,14724,20241,1265,9650,1662,"Batch3"
"Cell2350",11790,16661,18906,1123,10250,1843,"Batch3"
"Cell2351",9902,15357,12952,700,7616,1221,"Batch3"
"Cell2352",15245,19404,17930,1475,15124,1995,"Batch3"
"Cell2353",13667,15419,20105,1283,14116,2143,"Batch3"
"Cell2354",11910,15872,16867,1290,11104,1388,"Batch3"
"Cell2355",13864,18738,18482,1442,10791,2193,"Batch3"
"Cell2356",17017,22123,23766,1679,17778,2034,"Batch3"
"Cell2357",9699,17530,15885,1153,11686,1457,"Batch3"
"Cell2358",12879,19379,25057,1725,14336,1556,"Batch3"
"Cell2359",9224,14039,13447,1021,8766,1606,"Batch3"
"Cell2360",11000,14761,12468,1140,9440,1506,"Batch3"
"Cell2361",12966,16177,18320,1144,12013,1919,"Batch3"
"Cell2362",9282,15872,13868,1169,11491,1340,"Batch3"
"Cell2363",12189,15585,20563,1376,15393,2186,"Batch3"
"Cell2364",9066,15554,13184,667,8655,1174,"Batch3"
"Cell2365",10860,17699,18353,820,13084,1710,"Batch3"
"Cell2366",13417,18519,24201,1273,12885,2201,"Batch3"
"Cell2367",12414,14300,15754,1563,11840,1792,"Batch3"
"Cell2368",13426,13334,12828,1305,12114,1754,"Batch3"
"Cell2369",9807,15230,18877,1146,10321,1671,"Batch3"
"Cell2370",8586,14333,13251,895,9663,1703,"Batch3"
"Cell2371",12653,17047,18223,1439,15052,1810,"Batch3"
"Cell2372",8855,12569,12443,903,10055,1254,"Batch3"
"Cell2373",12533,23863,19325,1801,17096,1780,"Batch3"
"Cell2374",8991,18570,18032,1160,10571,2068,"Batch3"
"Cell2375",15147,24120,23133,1377,17078,2385,"Batch3"
"Cell2376",12815,21105,19573,1162,14890,2040,"Batch3"
"Cell2377",11855,19654,21581,1083,11756,1852,"Batch3"
"Cell2378",7197,9853,13940,664,6321,1112,"Batch3"
"Cell2379",11079,21446,18580,1122,13190,1610,"Batch3"
"Cell2380",10578,13190,12775,1139,9924,1089,"Batch3"
"Cell2381",9516,15956,12158,1158,10582,1393,"Batch3"
"Cell2382",9864,14722,19761,1272,12132,2037,"Batch3"
"Cell2383",12956,20696,20438,1505,12704,2644,"Batch3"
"Cell2384",11652,15441,14979,970,10508,1472,"Batch3"
"Cell2385",9990,14274,15380,737,10156,1769,"Batch3"
"Cell2386",11176,18118,21579,1602,11357,1919,"Batch3"
"Cell2387",9187,10626,13905,1017,8222,1334,"Batch3"
"Cell2388",11842,20111,14841,1468,11000,1459,"Batch3"
"Cell2389",9585,13298,16371,1185,9376,1415,"Batch3"
"Cell2390",9261,14654,12411,957,10857,1517,"Batch3"
"Cell2391",10071,16563,16448,1072,8372,1521,"Batch3"
"Cell2392",6746,12122,16004,836,9302,1329,"Batch3"
"Cell2393",12916,25989,20322,1373,18808,1914,"Batch3"
"Cell2394",8623,16762,14915,1032,9862,1401,"Batch3"
"Cell2395",12379,18676,13944,1295,10721,2422,"Batch3"
"Cell2396",12600,20348,18889,887,11757,1543,"Batch3"
"Cell2397",17206,23125,26975,1702,17882,2026,"Batch3"
"Cell2398",6920,12077,11555,1046,6697,1011,"Batch3"
"Cell2399",12376,16188,14850,1052,9817,1619,"Batch3"
"Cell2400",10855,18343,18592,991,12144,2536,"Batch3"
"Cell2401",10045,19162,20462,1271,10984,1245,"Batch3"
"Cell2402",8124,10194,13355,747,9201,1166,"Batch3"
"Cell2403",11544,15244,17106,1249,11819,2037,"Batch3"
"Cell2404",13980,19434,18178,1563,14414,2108,"Batch3"
"Cell2405",9679,12493,14085,849,9423,1738,"Batch3"
"Cell2406",8285,10885,15105,1063,9325,1502,"Batch3"
"Cell2407",7972,14140,11588,994,8007,1564,"Batch3"
"Cell2408",16423,22512,23593,1210,12882,2088,"Batch3"
"Cell2409",15080,20006,21580,1149,16820,2523,"Batch3"
"Cell2410",13925,23514,23629,1392,16392,2341,"Batch3"
"Cell2411",6966,11427,12011,808,8625,972,"Batch3"
"Cell2412",8995,17456,15244,974,10642,1702,"Batch3"
"Cell2413",8359,13104,14644,845,7760,1600,"Batch3"
"Cell2414",11687,12401,16952,1321,11949,1670,"Batch3"
"Cell2415",10125,17113,17571,1415,12143,1500,"Batch3"
"Cell2416",7891,17518,13757,853,7893,1555,"Batch3"
"Cell2417",14237,22778,20191,1427,13321,1859,"Batch3"
"Cell2418",10176,16610,16257,1245,11378,1510,"Batch3"
"Cell2419",19100,28964,34144,1939,19391,2763,"Batch3"
"Cell2420",14255,17296,17323,1573,16156,2285,"Batch3"
"Cell2421",14156,25573,27400,1920,15994,2381,"Batch3"
"Cell2422",12667,20620,19800,1437,12436,2075,"Batch3"
"Cell2423",12980,18350,19188,1278,10986,1926,"Batch3"
"Cell2424",13498,24156,16881,1315,13359,2371,"Batch3"
"Cell2425",12206,19131,24896,1568,13322,2171,"Batch3"
"Cell2426",10694,17441,17879,1157,12056,1690,"Batch3"
"Cell2427",7427,9154,8820,731,9364,1235,"Batch3"
"Cell2428",13827,17770,21032,1507,14053,2085,"Batch3"
"Cell2429",11519,19914,18637,1094,13183,1678,"Batch3"
"Cell2430",13651,26828,21960,1608,16112,2749,"Batch3"
"Cell2431",11816,15433,20386,1425,12009,1667,"Batch3"
"Cell2432",18558,27482,22530,1733,16321,2573,"Batch3"
"Cell2433",7740,12590,11539,811,8612,1373,"Batch3"
"Cell2434",9271,18360,14660,1029,10868,1312,"Batch3"
"Cell2435",10486,13889,19425,997,10576,1773,"Batch3"
"Cell2436",12237,17640,19341,1417,10984,2052,"Batch3"
"Cell2437",11844,26062,21143,1355,15918,1925,"Batch3"
"Cell2438",9063,17122,17599,1011,9293,2253,"Batch3"
"Cell2439",9630,18626,15373,1026,9084,1402,"Batch3"
"Cell2440",10571,13599,19638,1133,10379,1583,"Batch3"
"Cell2441",10707,18461,17705,1210,12377,1642,"Batch3"
"Cell2442",14106,17233,20251,1074,13039,1571,"Batch3"
"Cell2443",14359,19402,20710,1399,17318,2128,"Batch3"
"Cell2444",10061,15509,20275,1039,11358,2091,"Batch3"
"Cell2445",18522,23072,23029,1771,19297,2218,"Batch3"
"Cell2446",10865,17003,12753,1259,11191,1340,"Batch3"
